NAME,BANNED,SCOPE,ORG,YEAR,GROUPS_NO,GROUPS_MEMS,HIGHER_MEMS,VIO_MEMS,VIO_MEM_DIFF,HIGHER_VIO_MEMS,VIO_FR_CRIME,FR_HOMOCIDES,FR_PROP_CRIME,LOCATION,REGION,LAT,LON,SIZE,ELECT_CAMPAIGN,CRIME_ASS,CRIME_ACTS,VIO_CRIME_ASS,129StGB,INTERNATIONAL_LINKS,BAN_LINK,APABIZ_SOURCES,NOTES,CLASS,VFS1990,VFS1991,VFS1992,VFS1993,VFS1994,VFS1995,VFS1996,VFS1997,VFS1998,VFS1999,VFS2000,VFS2001,VFS2002,VFS2003,VFS2004,VFS2005,VFS2006,VFS2007,VFS2008,VFS2009,VFS2010,VFS2011,VFS2012,VFS2013,VFS2014,VFS2015,VFS2016,VFS2017,VFS2018,VFS2019,VFS2020,VFS2021,VFS2022,FIRST,LAST,BAN_DATE,SHORT_NAME,BAN,VIO_LEVEL,VIO_LEVEL_1stYEAR,VIO_LEVEL_lastYEAR,RMEM_DIFF,HOM,PROP,LINK,NNOV,PARTY,YMON,BAN_LINKS,B_LINKS_AUTO,SPD_BMI,SPD_VFS,PROP_trendline,PROP_trend_diff
Deutsche Liga für Volk und Heimat (DLVH),0,national,party,1992,82,41900,1,6400,2200,,2639,17,3125,Coburg (from 1997),"Nordrhein-Westfalen, Baden-Württemberg, Bayern (from 1997)",50.258112,10.964463,"200 (2001), 300 (1999), 500 (1998), 700 (1997), 800 (1996), 900 (1993), 800 (1992)",1992 Landtagswahl in Baden-Württemberg; 1993 Kommunalwahlen in Brandenburg,"YES: (VfS1994, p95)",,,,1,None,https://www.apabiz.de/archiv/material/Profile/DLVH.htm,led by Franz Glasauer,sonstige rechtsextremistische Gruppen,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,,,,,,,yes,yes,,,,,,,,,,1992-01-01,2006-01-01,,Deutsche Liga für Volk und Heimat,0,2639,2639,958,2200,1,3125,0,0,1,13,None,0,0,0,4167.889,-1042.88856
Nationalistische Front (NF),1,national,party,1992,82,41900,1,6400,2200,,2639,17,3125,"Bielefeld (until 1991), Detmold-Pivitsheide (after 1991), Bremen, Berlin",Nordrhein-Westfalen,52.0191005,8.531007,"150 (1992), 130 (1991), 80 (1990), 60 (1989)",,"YES: (VfS1992, pp83,87), (offence in July 1993, see VfS1993, p90)",,YES,,,Leader,https://www.apabiz.de/archiv/material/Profile/NF.htm,Led by Meinolf Schönborn,neo-Nazi,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,,,,1990-01-01,1993-01-01,1992-11-27,Nationalistische Front,1,2639,309,2639,2200,1,3125,0.75,1,1,8,Leader,0.75,0,0,4167.889,-1042.88856
Deutsche Alternative (DA),1,national,party,1992,82,41900,1,6400,2200,,2639,17,3125,Cottbus,"Bremen, Brandenburg, Sachsen, Rheinland-Pfalz, Berlin",51.7567447,14.3357307,"350 (1992), 300 (1991)",,"YES: (VfS1992, p83)",,,,,Leader,https://www.apabiz.de/archiv/material/Profile/DA.htm,"Part of GdNF; ' ""Es sind zuviele Ausländerim Land"". Sie wehrt sich gegen die ""massenhafte Ansiedlung geschlossener fremder Volksgruppen"", die nicht durch ""Ausländerbegrenzung, sondern eine humane, aber konsequente Ausländerrückführung"" verhindert werden solle.' ",neo-Nazi,YES,YES,YES,,,YES,,,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,,,,1990-01-01,1993-01-01,1992-12-10,Deutsche Alternative,1,2639,309,2639,2200,1,3125,0.75,1,1,4,Leader,0.75,0,0,4167.889,-1042.88856
Deutscher Kameradschaftsbund Wilhelmshaven (DKB),1,regional,association,1992,82,41900,1,6400,2200,,2639,17,3125,Wilhelmshaven,Niedersachsen,53.5278793,8.106301,30 (1992),,,,,,,Both,,,neo-Nazi,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990-01-01,1993-01-01,1992-12-21,Deutscher K-schaftsbund Wilhelmshaven,1,2639,309,2639,2200,1,3125,1,1,0,3,Both,1,0,0,4167.889,-1042.88856
Nationale Offensive (NO),1,national,party,1992,82,41900,1,6400,2200,,2639,17,3125,Augsburg,Bayern,48.3668041,10.8986971,"140 (1992), 100 (1991)",1992 Landtagswahl in Baden-Württemberg,"YES (offences in Feb. and Oct 1992, see VfS1994, p92)",,YES,,,Both,https://www.apabiz.de/archiv/material/Profile/NO.htm,leaders Michael Swierczek and Carlo Bauer,neo-Nazi,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,,,,1990-01-01,1993-01-01,1992-12-22,Nationale Offensive,1,2639,309,2639,2200,1,3125,1,1,1,7,Both,1,0,0,4167.889,-1042.88856
Deutsche Nationalisten (DN),0,national,association,1993,77,41500,0,5600,-800,,2232,3,3874,Mainz,Rheinland-Pfalz,50.0012314,8.2762513,"150 (1998), 70 (1995), 100 (1994), 50 (1993)",,"YES (charges in 1995, VfS1995, p133)",,,,,Leader,,"led by Michael Petri, former leader of banned DA",neo-Nazi,,,,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,1993-01-01,1999-01-01,,Deutsche Nationalisten,0,2232,2232,708,-800,1,3874,0.75,1,0,6,Leader,0.75,0,0,4537.941,-663.9408
Nationaler Block (NB),1,regional,association,1993,77,41500,0,5600,-800,,2232,3,3874,München,Bayern,48.1371079,11.5753822,,,,,,,,Both,https://www.apabiz.de/archiv/material/Profile/NB.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-06-11,Nationaler Block,1,2232,2232,2232,-800,1,3874,1,1,0,0,Both,1,0,0,4537.941,-663.9408
Heimattreue Vereinigung Deutschlands (HVD),1,regional,association,1993,77,41500,0,5600,-800,,2232,3,3874,Reutlingen,Baden-Württemberg,48.4919508,9.2114144,,,"YES (offences in Feb. and Oct 1992, see VfS1994, p92)",,YES,,,Both,https://www.apabiz.de/archiv/material/Profile/HVD.htm,,,,,YES,YES,YES,,,YES,,YES,,,,,,,,,,,,,,,,,,,,,,,,1992-01-01,1994-01-01,1993-07-14,Heimattreue Vereinigung Deutschlands,1,2232,2639,2232,-800,1,3874,1,1,0,5,Both,1,0,0,4537.941,-663.9408
Freundeskreis Freiheit für Deutschland (FFD),1,regional,association,1993,77,41500,0,5600,-800,,2232,3,3874,Bochum,Nordrhein-Westfalen,51.4818111,7.2196635,,,,,,,,Both,https://www.apabiz.de/archiv/material/Profile/FFD.htm,Günther Demolsky and Werner Gebhardt are founding members,sonstige rechtsextremistische Gruppen,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992-01-01,1994-01-01,1993-09-02,Freundeskreis Freiheit für Deutschland,1,2232,2639,2232,-800,1,3874,1,0,0,2,Both,1,0,0,4537.941,-663.9408
Die Republikaner (REP),0,national,party,1993,77,41500,0,5600,-800,,2232,3,3874,Berlin,Berlin,52.5170365,13.3888599,"6500 (2005), 7500 (2004), 8000 (2003), 9000 (2002), 11500 (2001), 13000 (2000), 14000 (1999), 15500 (1997), 15000 (1996), 16000 (1995), 20000 (1994), 23000 (1993), 20000 (1992)",YES,"YES (offence in March 1993, see VfS1993, pp84-85), (VfS1994, pp148-150), (VfS1995, pp149-150)",,YES,,1,None,,Rolf Schlierer,Rechtsextremistische Partei,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,1992-01-01,2007-01-01,,Die Republikaner,0,2232,2639,1047,-800,1,3874,0,0,1,15,None,0,0,0,4537.941,-663.9408
Neonazikreis um Ernst Zündel,0,international,association,1994,83,56600,1,5400,-200,,1489,0,3195,Toronto,Canada,,,,,"YES: (VfS1994, p112)",,,,1,None,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neonazikreis um Ernst Zündel,0,1489,837,837,-200,1,3195,0,1,0,1,None,0,0,0,4907.993,-1712.99304
Wiking-Jugend (WJ),1,national,association,1994,83,56600,1,5400,-200,,1489,0,3195,Stolberg,Nordrhein-Westfalen,50.7702908,6.2295504,"430 (1993), 400 (1992), 400 (1991)",,"YES: (VfS1994, pp94, 104, 106)",4 (1994),,,,Members,https://www.apabiz.de/archiv/material/Profile/WJ.htm,,youth group,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,,,,yes,yes,yes,yes,yes,,,,,,,,,,1990-01-01,1995-01-01,1994-11-10,Wiking-Jugend,1,1489,309,1489,-200,1,3195,0.25,1,0,8,Members,0.25,0,0,4907.993,-1712.99304
Freiheitliche Deutsche Arbeiterpartei (FAP),1,national,party,1995,96,46100,0,6200,800,,837,0,4343,Stuttgart,Baden-Württemberg,48.7784485,9.1800132,"430 (1993), 220 (1992), 150 (1991), 200 (1990), 330 (1989)",,"YES: 1 (1990), (VfS1992, pp83,87), (VfS1994, p94)","69, 3 violent (1990); 3 (1994)",1 (1990),,,Both,https://www.apabiz.de/archiv/material/Profile/FAP.htm,Friedhelm Busse,neo-Nazi,YES,YES,YES,YES,YES,YES,YES,,,,,YES,,,YES,,,,,yes,yes,yes,yes,yes,,,,,,,,,,1990-01-01,1996-01-01,1995-02-24,Freiheitliche Deutsche Arbeiterpartei,1,837,309,2232,800,0,4343,1,1,1,9,Both,1,0,0,5278.045,-935.04527
Nationale Liste (NL),1,regional,association,1995,96,46100,0,6200,800,,837,0,4343,Hamburg,Hamburg,53.550341,10.000654,30 (1992),,,,,,,Both,https://www.apabiz.de/archiv/material/Profile/NL.htm,led by Worch and Thomas Wulff,neo-Nazi,,,YES,YES,YES,YES,YES,YES,,,,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,1992-01-01,1995-01-01,1995-02-24,Nationale Liste,1,837,2639,837,800,0,4343,1,1,0,10,Both,1,0,0,5278.045,-935.04527
Direkte Aktion/Mitteldeutschland (JF),1,regional,association,1995,96,46100,0,6200,800,,837,0,4343,Berlin,"Brandenburg, Berlin",52.5170365,13.3888599,130 (1993),,,,,,,Both,https://www.apabiz.de/archiv/material/Profile/SrA.htm,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993-01-01,1995-01-01,1995-05-05,Direkte Aktion/Mitteldeutschland,1,837,2232,837,800,0,4343,1,1,0,3,Both,1,0,0,5278.045,-935.04527
Jugendbund,0,regional,association,1995,96,46100,0,6200,800,,837,0,4343,Wernigerode,Sachsen-Anhalt,51.8344172,10.7862526,,,,,,,,Leader,https://www.antifainfoblatt.de/artikel/braunzonen-shopping,,Gewaltbereite Jugend..,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1996-01-01,,Jugendbund,0,837,837,837,800,0,4343,0.75,1,0,1,Leader,0.75,0,0,5278.045,-935.04527
Nationale Jugendblock,0,regional,association,1995,96,46100,0,6200,800,,837,0,4343,Zittau,Sachsen,50.8960964,14.8064807,,,,,,,,None,https://www.antifainfoblatt.de/tags/nationaler-jugendblock,,Gewaltbereite Jugend..,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1996-01-01,,Nationale Jugendblock,0,837,837,837,800,0,4343,0,1,0,1,None,0,0,0,5278.045,-935.04527
SS-Heimatschutzkorps Ostwestfalen (SS-HSK),0,regional,association,1995,96,46100,0,6200,800,,837,0,4343,Ostwestfalen (area),Nordrhein-Westfalen,51.9867058,8.6457839,,,"YES: (VfS1995, p118)",weapons possession,,,,None,https://www.antifainfoblatt.de/artikel/mehr-nutzen-als-schaden-informanten-des-verfassungsschutzes // http://www.hiergeblieben.de/pages/textanzeige.php?limit=20&order=titel&richtung=ASC&z=716&id=8581,,Gewaltbereit,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1996-01-01,,SS-Heimatschutzkorps Ostwestfalen,0,837,837,837,800,0,4343,0,1,0,1,None,0,0,0,5278.045,-935.04527
Die Nationalen e.V.,0,regional,party,1995,96,46100,0,6200,800,,837,0,4343,Berlin,Berlin,52.5170365,13.3888599,"50 (1999), 150 (1995), 100 (1994)",,,,,,,Members,https://www.apabiz.de/archiv/material/Profile/Die%20Nationalen.htm,led by Frank Schwerdt,neo-Nazi,,,,,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,2000-01-01,,Die Nationalen e.V.,0,837,837,746,800,0,4343,0.25,1,1,5,Members,0.25,0,0,5278.045,-935.04527
Deutsches Kolleg (DK),0,national,association,1995,96,46100,0,6200,800,,837,0,4343,Berlin,Berlin,52.5170365,13.3888599,,,"YES(VfS1997, p92)",Volksverhetzung,,,,Members,https://www.apabiz.de/archiv/material/Profile/DK.htm,"led by Dr. Reinhold Oberlercher, Horst Mahler",neo-Nazi,,,,,,YES,YES,,,,,,YES,YES,YES,YES,YES,,,,,,,,,,,,,,,,,1995-01-01,2007-01-01,,Deutsches Kolleg,0,837,837,781,800,0,4343,0.25,1,0,7,Members,0.25,0,0,5278.045,-935.04527
Kameradschaft Recklinghausen,0,regional,association,1996,108,45300,0,6400,200,,781,1,5635,Recklinghausen,Nordrhein-Westfalen,51.6143815,7.1978546,71,,"YES: (VfS1996, p116)",weapons possession,,,,Both,https://taz.de/Razzia-bei-der-Kameradschaft-Recklinghausen/!1470839/,close to FAP,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-01-01,1997-01-01,,Kameradschaft Recklinghausen,0,781,781,781,200,0,5635,1,1,0,1,Both,1,0,0,5648.098,-13.09751
Freundeskreises Ulrich von Hutten e.V.,0,international,association,1996,108,45300,0,6400,200,,781,1,5635,"Rosenheim, Altenberg","Bayern, Sachsen",47.8539273,12.127262,,,,,,,1,None,https://www.apabiz.de/archiv/material/Profile/FUvH.htm,,,,,,,,YES,YES,YES,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,,,,,,,,,,,1995-01-01,2007-01-01,,Freundeskreises Ulrich von Hutten e.V.,0,781,837,1047,200,0,5635,0,0,0,10,None,0,0,0,5648.098,-13.09751
Notgemeinschaft für Volkstum und Kultur e.V.,0,regional,association,1996,108,45300,0,6400,200,,781,1,5635,Altenberg,Sachsen,50.766598,13.7523234,,,,,,,,None,https://www.apabiz.de/archiv/material/Profile/DKG-BKP.htm,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1996-01-01,,Notgemeinschaft für Volkstum & Kultur,0,781,837,837,200,0,5635,0,0,0,1,None,0,0,0,5648.098,-13.09751
Skinheads Allgäu,1,regional,association,1996,108,45300,0,6400,200,,781,1,5635,Pfronten,Bayern,47.5813782,10.5579673,,,,,,,,None,,,Gewaltbereite Jugend..,,,,,,YES,YES,,,YES,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01,1997-01-01,1996-07-30,Skinheads Allgäu,1,781,837,781,200,0,5635,0,1,0,3,None,0,0,1,5648.098,-13.09751
Skinheads Tostedt,0,regional,association,1997,109,48400,1,7600,1200,,790,0,7888,Tostedt,Niedersachsen,53.28265,9.7124175,,,,,,,,None,http://meyer-wellmann.de/jmw-dateien/skins_alles.pdf,,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01,1998-01-01,,Skinheads Tostedt,0,790,790,790,1200,1,7888,0,1,0,1,None,0,0,1,6018.15,1869.85026
Norddeutsche Bewegung (NDB),0,regional,association,1997,109,48400,1,7600,1200,,790,0,7888,Hamburg,Hamburg,53.550341,10.000654,40,,,,,,,Members,https://www.spiegel.de/politik/200-attacken-pro-sekunde-a-f80903ba-0002-0001-0000-000017114430,"led by Andre Goertz, lots of members of former banned groups (esp. FAP)",,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01,1998-01-01,,Norddeutsche Bewegung,0,790,790,790,1200,1,7888,0.25,1,0,1,Members,0.25,0,1,6018.15,1869.85026
"Gesellschaft fuer biologische Anthropologie, Eugenik und Verhaltensforschung e.V. (GfbAEV)",0,regional,association,1997,109,48400,1,7600,1200,,790,0,7888,Ellerau,Schleswig-Holstein,53.7500324,9.9166665,,,,,,,,Leader,https://www.apabiz.de/archiv/material/Profile/GfbAEV.htm,connected to Jurgen Rieger,sonstige rechtsextremistische Gruppen,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01,1999-01-01,,GfbAEV,0,790,790,708,1200,1,7888,0.75,0,0,2,Leader,0.75,0,1,6018.15,1869.85026
Nordischer Ring e.V.,0,regional,association,1997,109,48400,1,7600,1200,,790,0,7888,Hamburg,Hamburg,53.550341,10.000654,,,,,,,,Leader,https://nsu-watch.info/2017/02/protokoll-348-verhandlungstag-16-februar-2017/,connected to Jurgen Rieger,sonstige rechtsextremistische Gruppen,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01,1999-01-01,,Nordischer Ring e.V.,0,790,790,708,1200,1,7888,0.75,0,0,2,Leader,0.75,0,1,6018.15,1869.85026
Freiheitlicher Volksblock (FVB),0,regional,association,1997,109,48400,1,7600,1200,,790,0,7888,Nürnberg,Bayern,49.453872,11.077298,"70 (1999), 100 (1997), 40 (1996)",,,,,,1,Members,https://www.hamburg.de/contentblob/233158/54821051d372aa3ead3ca04347a66c08/data/rechtsex-stichwortbroschuere.pdf,"led by Konrad Petratschek, later Thomas Scharf; formed of former HVD members; expanding in 1997, activites in south and middle Germany",neo-Nazi,,,,,,,,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01,2000-01-01,,Freiheitlicher Volksblock,0,790,790,746,1200,1,7888,0.25,1,0,3,Members,0.25,0,1,6018.15,1869.85026
Kameradschaft Oberhavel,1,regional,association,1997,109,48400,1,7600,1200,,790,0,7888,Hennigsdorf,Brandenburg,52.6375777,13.2057511,,,,,,,,None,https://www.antifainfoblatt.de/tags/kameradschaft-oberhavel,,neo-Nazi,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01,1998-01-01,1997-08-15,Kameradschaft Oberhavel,1,790,790,790,1200,1,7888,0,1,0,1,None,0,0,1,6018.15,1869.85026
Kameradschaft Beusselkiez,0,regional,association,1998,114,53600,1,8200,600,,708,0,6958,Beusselkiez,Berlin,52.52872849,13.32662296,,,,,,,,Leader,http://www.infopartisan.net/archive/rag/rag195.html,led by Mike Penkert,neo-Nazi,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-01,1999-01-01,,Kameradschaft Beusselkiez,0,708,708,708,600,0,6958,0.75,1,0,1,Leader,0.75,0,1,6388.202,569.79802
Kameradschaft Treptow,0,regional,association,1998,114,53600,1,8200,600,,708,0,6958,Treptow,Berlin,52.4884438,13.4703145,,,,,,,,Both,https://de.wikipedia.org/wiki/Freie_Kameradschaften,,neo-Nazi,,,,,,,,,YES,YES,,,,,,,,,,,,,,,,,,,,,,,,1998-01-01,2000-01-01,,Kameradschaft Treptow,0,708,708,746,600,0,6958,1,1,0,2,Both,1,0,1,6388.202,569.79802
Kameradschaft Schöneberg,0,regional,association,1998,114,53600,1,8200,600,,708,0,6958,Schöneberg,Berlin,52.482157,13.3551901,,,,,,,,None,,,neo-Nazi,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-01,1999-01-01,,Kameradschaft Schöneberg,0,708,708,708,600,0,6958,0,1,0,1,None,0,0,1,6388.202,569.79802
Kameradschaft Prenzlauerberg/Mitte,0,regional,association,1998,114,53600,1,8200,600,,708,0,6958,Prenzlauerberg,Berlin,52.53911209,13.42441177,,,,,,,,None,,,neo-Nazi,,,,,,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-01,1999-01-01,,Kameradschaft Prenzlauerberg/Mitte,0,708,708,708,600,0,6958,0,1,0,1,None,0,0,1,6388.202,569.79802
